Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
МИАРД ВЛАДИС;Октябрьский;улица Сергея Лазо 21;126;6;6;12900000;102381
ID 13616343;Кировский;улица Перелета 7к3;113;4;9;12900000;114159
ID 87434855;Ленинский;улица Орловского 8;100;9;10;12980000;129800
ID 70293760;Советский;улица Волховстроя 23;92;2;14;12950000;140000
ID 70292107;Центральный;улица 10 лет Октября 43;158;6;7;12999924;82278
ID 105974864;Кировский;улица Конева 6;90;14;14;13000000;144444
ID 70291799;Центральный;улица Шукшина 8;109;8;8;13080000;120000
Квартсервис;Кировский;улица 70 лет Октября 13/3;101;10;16;13250000;130542
Самолет Плюс Омск-Центр;Центральный;улица Шукшина 8;109;8;8;13298000;122000
ID 70292202;Кировский;улица Туполева 8/2;80;3;9;13300000;166250
Семёрочка;Кировский;улица Туполева 8/2;80;3;10;13300000;166250
МИАРД ВЛАДИС;Центральный;улица Декабристов 114;98;8;15;12366000;125035
Квартсервис. Новостройки;Центральный;улица Яковлева 169;100;11;14;10058500;100585
ID 58016288;Советский;улица Красный Путь 135к1;75;12;17;14000025;186667
Недвижимость Гарант;Центральный;улица Богдана Хмельницкого 44;70;2;12;5800000;82857
ЛИОРА;Кировский;улица 70 лет Октября 6/1;69;5;5;5500000;79710
